joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_11,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_15,joint_pos_16,joint_pos_17,joint_pos_18,joint_pos_19,joint_pos_20,joint_pos_21,joint_pos_22,joint_pos_23,joint_pos_24,joint_pos_25,joint_pos_26,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,tau_est_0,tau_est_1,tau_est_2,tau_est_3,tau_est_4,tau_est_5,tau_est_6,tau_est_7,tau_est_8,tau_est_9,tau_est_10,tau_est_11,tau_est_12,tau_est_13,tau_est_14,tau_est_15,tau_est_16,tau_est_17,tau_est_18,tau_est_19,tau_est_20,tau_est_21,tau_est_22,tau_est_23,tau_est_24,tau_est_25,tau_est_26,cmd_q_0,cmd_q_1,cmd_q_2,cmd_q_3,cmd_q_4,cmd_q_5,cmd_q_6,cmd_q_7,cmd_q_8,cmd_q_9,cmd_q_10,cmd_q_11,cmd_q_12,cmd_q_13,cmd_q_14,cmd_q_15,cmd_q_16,cmd_q_17,cmd_q_18,cmd_q_19,cmd_q_20,cmd_q_21,cmd_q_22,cmd_q_23,cmd_q_24,cmd_q_25,cmd_q_26,cmd_tau_0,cmd_tau_1,cmd_tau_2,cmd_tau_3,cmd_tau_4,cmd_tau_5,cmd_tau_6,cmd_tau_7,cmd_tau_8,cmd_tau_9,cmd_tau_10,cmd_tau_11,cmd_tau_12,cmd_tau_13,cmd_tau_14,cmd_tau_15,cmd_tau_16,cmd_tau_17,cmd_tau_18,cmd_tau_19,cmd_tau_20,cmd_tau_21,cmd_tau_22,cmd_tau_23,cmd_tau_24,cmd_tau_25,cmd_tau_26,motion_phase,
0.0024488,0.00881612,0.000688314,0.000975306,-0.00663411,0.00233371,0.00166082,-0.00457418,-0.00148439,-3.36122e-05,-0.00253831,0.00247911,-0.00513268,0.0604351,0.00801373,-0.0168409,0.0672381,-0.0146861,-0.00257444,0.00894606,0.0633051,-0.0102513,0.00824761,0.0749254,0.0164516,0.00681949,-0.0194445,0,0,0,0,0,0,0,0,0,0,-0.00606669,0.213893,0,0.00293,0,0,-0.00879,-0.01172,0,0,0,0,0,0,-0.01172,0,0,-1.25,-2.27,-0.22,-0.07,0.4396,-0.356342,-0.51,1.54,0.22,-0.22,0.00438325,-0.113785,1.98,-4.91,-0.66,1.39,-4.03,0.81,0.22,-0.66,-5.05,0.81,-0.66,-4.47,-0.95,-0.51,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.00244331,0.00881612,0.000688314,0.000975306,-0.00663411,0.00233371,0.001647,-0.00457418,-0.00148439,-3.36122e-05,-0.00253579,0.00288296,-0.00513411,0.0604351,0.00801373,-0.0168414,0.0672381,-0.0146852,-0.00257444,0.00894606,0.0633051,-0.0102513,0.00824761,0.0749264,0.0164526,0.00681949,-0.0194445,-0.0133182,0,0,0,0,0,0,0,0,0,1.66469e-05,0.1578,0,0,0,-0.00293,-0.00293,-0.00293,-0.00879,0.00293,0.00293,-0.00293,-0.00293,-0.00293,0,0,0.00293,-1.68,-2.56,0.07,-0.22,0.425735,-0.121189,-0.66,1.25,0.37,-0.22,0.243381,-0.479542,1.83,-4.76,-0.66,1.39,-4.03,0.81,0.22,-0.66,-5.05,0.81,-0.66,-4.47,-0.95,-0.51,1.54,-0.088087,-0.151572,-0.113907,-0.694381,0.361454,0.0290832,-0.0892513,0.0896631,-0.544196,-0.584265,-0.163128,0.0708833,0.0159963,0.172917,-0.027526,-0.0458836,0.0390612,0.0140062,0.0285986,-0.000884854,0.193682,0.171553,0.152814,-0.0938646,0.021805,-0.0362926,-0.0126452,-38.9521,-44.7179,-16.6037,-223.07,22.3209,1.62209,-39.114,26.2743,-78.6335,-187.422,-9.71475,3.3224,6.76128,8.9927,-2.84318,-2.32341,-1.68622,1.7274,2.49384,-0.786473,10.4301,14.5444,11.5653,-10.1274,0.327065,-3.44897,0.543945,0.00416667,
0.00244045,0.00881612,0.000688314,0.000975306,-0.00663411,0.00233371,0.00163293,-0.00457418,-0.00148439,-3.36122e-05,-0.00253187,0.00316218,-0.00513268,0.0604351,0.00801373,-0.0168414,0.067239,-0.0146852,-0.00257492,0.00894606,0.0633051,-0.0102513,0.00824761,0.0749264,0.0164545,0.00681949,-0.0194445,0,0,0,0,0,0,0,0,0,0,0.00613056,0.101666,0,0.00293,0,-0.00293,0.00293,-0.00293,0,0,-0.00293,0,0.00293,-0.00879,-0.00293,0,0.00293,-1.39,-2.27,0.07,0.07,0.2196,-0.234936,-0.51,1.25,0.22,-0.07,0.237306,-0.715223,1.98,-4.91,-0.66,1.39,-4.03,0.95,0.22,-0.66,-5.05,0.81,-0.66,-4.47,-0.95,-0.51,1.54,-0.088087,-0.151572,-0.113907,-0.694381,0.361454,0.0290832,-0.0892513,0.0896631,-0.544196,-0.584265,-0.163128,0.0708833,0.0159963,0.172917,-0.027526,-0.0458836,0.0390612,0.0140062,0.0285986,-0.000884854,0.193682,0.171553,0.152814,-0.0938646,0.021805,-0.0362926,-0.0126452,-38.9521,-44.7179,-16.6037,-223.07,22.3209,1.62209,-39.114,26.2743,-78.6335,-187.422,-9.71475,3.3224,6.76128,8.9927,-2.84318,-2.32341,-1.68622,1.7274,2.49384,-0.786473,10.4301,14.5444,11.5653,-10.1274,0.327065,-3.44897,0.543945,0.00416667,
0.00243497,0.00881612,0.000688314,0.000975306,-0.00663411,0.00233371,0.00162196,-0.00457418,-0.00148439,-3.36122e-05,-0.00251905,0.00324695,-0.00513268,0.0604351,0.00801373,-0.0168414,0.0672374,-0.0146861,-0.00257444,0.00894606,0.0633051,-0.0102496,0.00824642,0.0749264,0.016453,0.00681949,-0.0194445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00293,0.00293,0.00293,0.01466,0,-0.00293,-0.00293,0.00293,0.00293,0,-0.00879,-0.00293,-0.00293,-1.39,-2.27,-0.07,0.07,0.645736,-0.242595,-0.51,1.25,0.51,-0.22,0.261258,-0.950921,2.27,-4.76,-0.66,1.39,-4.03,0.81,0.22,-0.66,-5.05,0.81,-0.66,-4.47,-0.95,-0.51,1.54,-0.088087,-0.151572,-0.113907,-0.694381,0.361454,0.0290832,-0.0892513,0.0896631,-0.544196,-0.584265,-0.163128,0.0708833,0.0159963,0.172917,-0.027526,-0.0458836,0.0390612,0.0140062,0.0285986,-0.000884854,0.193682,0.171553,0.152814,-0.0938646,0.021805,-0.0362926,-0.0126452,-38.9521,-44.7179,-16.6037,-223.07,22.3209,1.62209,-39.114,26.2743,-78.6335,-187.422,-9.71475,3.3224,6.76128,8.9927,-2.84318,-2.32341,-1.68622,1.7274,2.49384,-0.786473,10.4301,14.5444,11.5653,-10.1274,0.327065,-3.44897,0.543945,0.00416667,
0.00243497,0.00881612,0.000688314,0.000975306,-0.00663411,0.00233371,0.00160813,-0.00457418,-0.00148439,-3.36122e-05,-0.00250478,0.00313196,-0.00513268,0.0604351,0.00801373,-0.0168414,0.0672381,-0.0146866,-0.00257444,0.00894511,0.0633051,-0.0102513,0.00824761,0.0749264,0.0164516,0.00681949,-0.0194445,0,0,0,0,0,0,0,0,0,0,-0.00613114,-0.101664,0,0.00293,0,0,0.00293,0.00293,0.00879,0,0,-0.00293,0,-0.00293,0.01172,0,-0.00293,-1.39,-2.27,0.07,-0.22,0.645736,-0.242595,-0.51,1.54,0.07,-0.22,0.261311,-0.950935,1.54,-4.76,-0.66,1.39,-4.18,0.81,0.22,-0.81,-5.05,0.81,-0.66,-4.47,-0.95,-0.51,1.54,-0.088087,-0.151572,-0.113907,-0.694381,0.361454,0.0290832,-0.0892513,0.0896631,-0.544196,-0.584265,-0.163128,0.0708833,0.0159963,0.172917,-0.027526,-0.0458836,0.0390612,0.0140062,0.0285986,-0.000884854,0.193682,0.171553,0.152814,-0.0938646,0.021805,-0.0362926,-0.0126452,-38.9521,-44.7179,-16.6037,-223.07,22.3209,1.62209,-39.114,26.2743,-78.6335,-187.422,-9.71475,3.3224,6.76128,8.9927,-2.84318,-2.32341,-1.68622,1.7274,2.49384,-0.786473,10.4301,14.5444,11.5653,-10.1274,0.327065,-3.44897,0.543945,0.00416667,
0.00206876,0.00797832,0.000244141,-0.00220102,-0.00663411,0.00233371,0.00125027,-0.00410819,-0.00446391,-0.00346035,-0.00249179,0.00282217,-0.00513101,0.0604432,0.00801206,-0.0168447,0.0672414,-0.0146818,-0.00256741,0.00894606,0.0633123,-0.0102303,0.00826526,0.0749171,0.0164557,0.00680602,-0.0194478,-0.453,-0.746091,-0.559591,-3.03282,0,0,-0.466318,0.439682,-3.10432,-2.961,0.00608429,-0.168827,0,0.01172,-0.01172,-0.00293,0.00293,0.00293,0.01466,-0.00879,0.01466,0.0381,0.04104,-0.01172,0.00293,-0.02638,-0.00293,-27.47,-32.31,-11.79,-52.38,0.2196,-0.234936,-26.89,19.27,-34.95,-124.62,0.0317788,-0.82902,7.55,6.67,-2.71,-1.39,-1.68,1.54,1.83,-0.81,7.99,14.43,10.92,-10.18,-0.07,-2.86,0.81,-0.088087,-0.151572,-0.113907,-0.694381,0.361454,0.0290832,-0.0892513,0.0896631,-0.544196,-0.584265,-0.163128,0.0708833,0.0159963,0.172917,-0.027526,-0.0458836,0.0390612,0.0140062,0.0285986,-0.000884854,0.193682,0.171553,0.152814,-0.0938646,0.021805,-0.0362926,-0.0126452,-38.9521,-44.7179,-16.6037,-223.07,22.3209,1.62209,-39.114,26.2743,-78.6335,-187.422,-9.71475,3.3224,6.76128,8.9927,-2.84318,-2.32341,-1.68622,1.7274,2.49384,-0.786473,10.4301,14.5444,11.5653,-10.1274,0.327065,-3.44897,0.543945,0.00416667,
0.00135851,0.00688255,-0.000540972,-0.00685335,-0.00652244,0.00236154,0.000470638,-0.00344777,-0.00878096,-0.00794082,-0.00252347,0.00265881,-0.00506592,0.0605443,0.00797367,-0.016892,0.0672872,-0.0146487,-0.00247264,0.00894511,0.0634308,-0.00994587,0.00849986,0.0748148,0.0164893,0.00667417,-0.0194509,-0.6795,-1.19909,-0.719455,-4.52229,0.224297,0.0895277,-0.732773,0.6395,-4.02364,-4.3249,-0.0488656,-0.0920421,0.0609091,0.06155,-0.02345,-0.02638,0.02638,0.02638,0.06155,0,0.07914,0.17294,0.14656,-0.05862,0.02052,-0.07328,0,-20.59,-27.03,-9.45,-144.25,20.8862,1.21431,-19.56,15.6,-46.96,-97.95,-8.46992,2.984,5.49,8.57,-2.86,-2.12,-1.83,1.54,1.98,-0.81,9.89,13.99,11.06,-10.04,-0.07,-3,0.81,-0.088087,-0.151572,-0.113907,-0.694381,0.361454,0.0290832,-0.0892513,0.0896631,-0.544196,-0.584265,-0.163128,0.0708833,0.0159963,0.172917,-0.027526,-0.0458836,0.0390612,0.0140062,0.0285986,-0.000884854,0.193682,0.171553,0.152814,-0.0938646,0.021805,-0.0362926,-0.0126452,-38.9521,-44.7179,-16.6037,-223.07,22.3209,1.62209,-39.114,26.2743,-78.6335,-187.422,-9.71475,3.3224,6.76128,8.9927,-2.84318,-2.32341,-1.68622,1.7274,2.49384,-0.786473,10.4301,14.5444,11.5653,-10.1274,0.327065,-3.44897,0.543945,0.00416667,
-0.000561476,0.0041858,-0.00260496,-0.0207694,-0.00517323,0.0027469,-0.0015769,-0.00185549,-0.0197532,-0.0208367,-0.00298776,0.00292538,-0.00485492,0.060766,0.00789499,-0.0169966,0.0673645,-0.0145743,-0.00224721,0.00894463,0.0636921,-0.00937247,0.00896358,0.0746276,0.0165215,0.00643134,-0.0194509,-0.852682,-1.11914,-0.919318,-6.2092,0.847534,0.19997,-0.852682,0.599545,-4.88964,-6.02976,-0.305257,0.281393,0.0761299,0.10845,-0.0381,-0.04983,0.02931,0.02345,0.12018,-0.00293,0.1319,0.27552,0.23742,-0.08793,0.01466,-0.11431,0,-14.73,-23.52,-7.55,-88.86,21.7533,1.45316,-14.29,14.43,-32.45,-59.41,-9.16214,3.81154,4.18,8.72,-2.86,-2.12,-1.68,1.54,2.12,-0.66,10.04,13.85,10.92,-10.04,0.07,-3.15,0.81,-0.088087,-0.151572,-0.113907,-0.694381,0.361454,0.0290832,-0.0892513,0.0896631,-0.544196,-0.584265,-0.163128,0.0708833,0.0159963,0.172917,-0.027526,-0.0458836,0.0390612,0.0140062,0.0285986,-0.000884854,0.193682,0.171553,0.152814,-0.0938646,0.021805,-0.0362926,-0.0126452,-38.9521,-44.7179,-16.6037,-223.07,22.3209,1.62209,-39.114,26.2743,-78.6335,-187.422,-9.71475,3.3224,6.76128,8.9927,-2.84318,-2.32341,-1.68622,1.7274,2.49384,-0.786473,10.4301,14.5444,11.5653,-10.1274,0.327065,-3.44897,0.543945,0.00416667,
-0.00262809,0.00167239,-0.00519609,-0.0319687,-0.00229157,0.00346582,-0.00377417,-0.000748515,-0.0320659,-0.0365912,-0.00399758,0.00402378,-0.00472522,0.0610876,0.00777817,-0.0171409,0.0674531,-0.0144565,-0.00191939,0.00894463,0.0640733,-0.00859451,0.00965643,0.0743573,0.0165465,0.00611949,-0.0194515,-0.839364,-1.02591,-1.14582,-2.78155,1.50186,0.410726,-0.786091,0.346409,-5.36927,-6.74755,-0.494564,0.601647,0.0228312,0.14656,-0.05276,-0.06448,0.02931,0.06155,0.15828,0,0.18173,0.36346,0.32535,-0.1319,-0.00293,-0.13776,-0.00293,-13.85,-23.81,-5.05,-153.33,21.7519,1.45869,-13.55,19.27,-24.69,-38.46,-9.61539,4.28642,5.35,8.72,-2.71,-2.12,-1.68,1.54,2.12,-0.81,9.74,13.55,10.77,-10.04,0.07,-3.15,0.66,-0.088087,-0.151572,-0.113907,-0.694381,0.361454,0.0290832,-0.0892513,0.0896631,-0.544196,-0.584265,-0.163128,0.0708833,0.0159963,0.172917,-0.027526,-0.0458836,0.0390612,0.0140062,0.0285986,-0.000884854,0.193682,0.171553,0.152814,-0.0938646,0.021805,-0.0362926,-0.0126452,-38.9521,-44.7179,-16.6037,-223.07,22.3209,1.62209,-39.114,26.2743,-78.6335,-187.422,-9.71475,3.3224,6.76128,8.9927,-2.84318,-2.32341,-1.68622,1.7274,2.49384,-0.786473,10.4301,14.5444,11.5653,-10.1274,0.327065,-3.44897,0.543945,0.00416667,
-0.00455093,-0.000941157,-0.00825906,-0.0335457,0.00220916,0.00483511,-0.00540543,-4.92334e-05,-0.0456405,-0.0490274,-0.00534272,0.00597446,-0.00475049,0.06148,0.00765848,-0.0173235,0.0675187,-0.0143023,-0.00152278,0.00894511,0.0645952,-0.00765371,0.0105047,0.0739865,0.0165606,0.00573242,-0.0194515,-0.719455,-1.06586,-1.47886,0.735796,2.19974,0.697259,-0.506273,0.279773,-5.79564,-3.2302,-0.586341,0.881316,-0.0685195,0.17587,-0.04104,-0.08793,0.02052,0.06448,0.16121,0,0.23742,0.40156,0.38105,-0.18173,0.00879,-0.19638,-0.00293,-15.16,-21.17,-1.98,-207.55,21.5296,1.34599,-21.61,20.59,-19.71,-100.88,-9.40845,4.39329,9.01,8.42,-2.71,-2.12,-1.68,1.68,2.27,-0.81,9.74,13.85,10.62,-10.04,0.22,-3.15,0.66,-0.088087,-0.151572,-0.113907,-0.694381,0.361454,0.0290832,-0.0892513,0.0896631,-0.544196,-0.584265,-0.163128,0.0708833,0.0159963,0.172917,-0.027526,-0.0458836,0.0390612,0.0140062,0.0285986,-0.000884854,0.193682,0.171553,0.152814,-0.0938646,0.021805,-0.0362926,-0.0126452,-38.9521,-44.7179,-16.6037,-223.07,22.3209,1.62209,-39.114,26.2743,-78.6335,-187.422,-9.71475,3.3224,6.76128,8.9927,-2.84318,-2.32341,-1.68622,1.7274,2.49384,-0.786473,10.4301,14.5444,11.5653,-10.1274,0.327065,-3.44897,0.543945,0.00416667,
